no,CANT,NOM_CO,NOM_CI,H,DB,DN,DC,COB,BIO,C
1059,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.08,9.2,6.21,1.9,2.835,12.173,6.087
1060,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.08,9.66,4.29,2.09,3.431,5.675,2.837
1061,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.51,6.23,3.07,1.96,3.017,2.845,1.422
1062,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.9,11.4,4.45,1.84,2.659,6.12,3.06
1063,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.96,7.93,8.86,1.76,2.433,25.345,12.672
1064,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.02,7.68,7.81,1.71,2.297,19.536,9.768
1065,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.19,8.63,8.76,1.92,2.895,24.758,12.379
1066,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.99,5.33,5.93,1.99,3.11,11.068,5.534
1067,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.93,6.16,3.66,2.01,3.173,4.089,2.044
1068,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.39,10.17,6.29,1.78,2.488,12.499,6.25
1069,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.68,5.58,5.73,2.06,3.333,10.311,5.156
1070,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.17,9.22,8.07,1.78,2.488,20.902,10.451
1071,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.6,6.72,3.59,1.73,2.351,3.929,1.965
1072,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.32,7.73,5.93,1.94,2.956,11.068,5.534
1073,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.24,7.02,3.9,1.69,2.243,4.661,2.331
1074,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.11,7.49,4.95,2.06,3.333,7.624,3.812
1075,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.73,10.03,7.42,2.09,3.431,17.577,8.788
1076,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.83,7.08,5.86,1.76,2.433,10.8,5.4
1077,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.86,8.96,5.26,1.92,2.895,8.642,4.321
1078,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.74,8.33,5.37,1.93,2.926,9.019,4.51
1079,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.18,9.65,5.76,1.76,2.433,10.423,5.211
1080,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.43,11.56,7.71,1.87,2.746,19.024,9.512
1081,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.35,10.13,8.35,1.98,3.079,22.426,11.213
1082,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.22,6.5,8.73,2.07,3.365,24.584,12.292
1083,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.43,5.22,7.72,1.99,3.11,19.075,9.537
1084,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.21,6.84,4.89,1.94,2.956,7.434,3.717
1085,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.95,9.17,7.13,2.03,3.237,16.189,8.094
1086,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.33,5.36,5.63,2.05,3.301,9.943,4.972
1087,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.18,8.47,4.53,1.98,3.079,6.349,3.175
1088,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.09,9.18,8.05,2.03,3.237,20.796,10.398
1089,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.38,7.34,3.23,2.09,3.431,3.159,1.58
1090,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.77,10.4,8.41,1.87,2.746,22.76,11.38
1091,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.32,5.75,5.77,1.87,2.746,10.46,5.23
1092,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.34,5.53,6.82,1.76,2.433,14.77,7.385
1093,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.42,10.1,6.96,1.8,2.545,15.402,7.701
1094,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.15,8.47,8.37,1.81,2.573,22.537,11.269
1095,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.94,9.82,6.82,1.97,3.048,14.77,7.385
1096,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.21,8.04,6.68,2.02,3.205,14.151,7.075
1097,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.12,6.72,3.4,1.76,2.433,3.512,1.756
1098,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.57,10.73,6.11,1.96,3.017,11.772,5.886
1099,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.11,10.6,3.9,1.88,2.776,4.661,2.331
1100,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.59,9.86,7.42,1.99,3.11,17.577,8.788
1101,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.36,6.91,6.07,1.8,2.545,11.614,5.807
1102,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.58,9.13,7.08,1.72,2.324,15.955,7.978
1103,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.31,7.53,3.25,1.81,2.573,3.2,1.6
1104,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.16,5.64,3.51,1.87,2.746,3.751,1.875
1105,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.37,11.42,7.3,1.92,2.895,16.995,8.498
1106,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.54,5.96,3.43,1.85,2.688,3.576,1.788
1107,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.63,11.65,8,2.08,3.398,20.53,10.265
1108,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.57,8.12,3.07,2.02,3.205,2.845,1.422
1109,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.28,6.3,8.74,1.82,2.602,24.642,12.321
1110,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.23,8.79,7.43,2.02,3.205,17.626,8.813
1111,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.99,11.11,5.12,1.88,2.776,8.174,4.087
1112,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.34,10.13,4.78,1.99,3.11,7.093,3.547
1113,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.54,10.65,5.1,1.75,2.405,8.108,4.054
1114,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.74,9.61,7.65,1.79,2.517,18.72,9.36
1115,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.2,9.85,6.97,1.88,2.776,15.448,7.724
1116,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.86,10.94,4.11,1.74,2.378,5.194,2.597
1117,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.16,6.75,4.04,1.93,2.926,5.013,2.507
1118,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.6,8.43,3.59,1.94,2.956,3.929,1.965
1119,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.15,6.55,6.96,1.84,2.659,15.402,7.701
1120,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.61,11.91,7.59,2,3.142,18.418,9.209
1121,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.22,11.61,4.59,1.87,2.746,6.524,3.262
1122,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.72,5.28,3.13,1.69,2.243,2.961,1.48
1123,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.23,9.94,3.49,1.93,2.926,3.707,1.853
1124,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.19,11.48,8.81,1.97,3.048,25.051,12.525
1125,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.01,6.26,4.77,2.07,3.365,7.063,3.531
1126,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.4,8.98,7.62,1.83,2.63,18.568,9.284
1127,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.86,11.41,6.75,1.98,3.079,14.459,7.229
1128,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.57,5.24,5.29,1.9,2.835,8.744,4.372
1129,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.31,9.88,4.23,1.81,2.573,5.512,2.756
1130,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.58,7.08,3.73,1.69,2.243,4.252,2.126
1131,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.68,11.47,6.69,1.86,2.717,14.195,7.097
1132,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.48,11.8,7.65,2.05,3.301,18.72,9.36
1133,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.34,11.61,6.86,1.88,2.776,14.949,7.475
1134,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.89,8.32,6.18,1.95,2.986,12.052,6.026
1135,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.73,11.03,3.25,2.06,3.333,3.2,1.6
1136,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.05,10.91,8.81,1.89,2.806,25.051,12.525
1137,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.9,7.23,7.79,1.7,2.27,19.433,9.717
1138,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.24,10.8,4.76,1.84,2.659,7.032,3.516
1139,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.92,5.26,8.88,1.77,2.461,25.463,12.732
1140,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.41,9.17,6.61,1.76,2.433,13.847,6.923
1141,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.18,6.61,6.49,1.87,2.746,13.333,6.666
1142,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.09,5.84,7.49,1.84,2.659,17.921,8.96
1143,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.49,5.54,7.87,1.85,2.688,19.847,9.924
1144,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.01,9.87,6.94,2,3.142,15.311,7.656
1145,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.32,7.38,3.77,2.07,3.365,4.347,2.173
1146,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.71,10.07,5.03,1.81,2.573,7.88,3.94
1147,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.54,5.46,8.57,1.88,2.776,23.663,11.831
1148,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.07,7.21,4.35,1.9,2.835,5.84,2.92
1149,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.13,8.78,5.23,2.08,3.398,8.541,4.27
1150,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.34,10.54,5.59,1.83,2.63,9.798,4.899
1151,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.38,7.23,5.64,1.98,3.079,9.98,4.99
1152,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.2,9.38,6.68,1.87,2.746,14.151,7.075
1153,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.73,11.2,8.66,2.07,3.365,24.178,12.089
1154,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.91,9.31,4.44,1.69,2.243,6.092,3.046
1155,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.42,6.63,3.73,2.05,3.301,4.252,2.126
1156,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.9,5.17,4.18,1.76,2.433,5.378,2.689
1157,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.6,11.09,8.32,2.08,3.398,22.261,11.13
1158,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.78,5.15,6.87,1.93,2.926,14.994,7.497
1159,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.36,11.12,4.72,2.05,3.301,6.911,3.455
1160,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.04,8.7,7.9,1.71,2.297,20.004,10.002
1161,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.33,11.57,8.17,1.9,2.835,21.44,10.72
1162,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.62,10.59,8.08,2.08,3.398,20.956,10.478
1163,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.88,11.99,8.51,1.93,2.926,23.322,11.661
1164,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.82,7.45,4.51,1.75,2.405,6.291,3.146
1165,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.91,10.37,7.53,1.93,2.926,18.119,9.059
1166,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.58,7.81,5.76,2.09,3.431,10.423,5.211
1167,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.67,8.36,8.05,1.94,2.956,20.796,10.398
1168,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.14,9.39,7.37,2,3.142,17.333,8.667
1169,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.95,11.12,7.66,1.77,2.461,18.77,9.385
1170,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.01,11.89,6.94,1.7,2.27,15.311,7.656
1171,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.67,10.38,4.06,1.71,2.297,5.065,2.532
1172,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.95,7.92,6.27,2.06,3.333,12.417,6.209
1173,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.92,7.95,8.91,1.71,2.297,25.641,12.82
1174,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.16,10.16,8.62,1.84,2.659,23.949,11.974
1175,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.43,6.67,3.26,1.89,2.806,3.22,1.61
1176,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.91,5.77,3.99,1.96,3.017,4.886,2.443
1177,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.82,7.48,3.79,2.01,3.173,4.394,2.197
1178,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.41,7.01,7.36,1.92,2.895,17.285,8.642
1179,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.79,7.07,7.91,1.85,2.688,20.056,10.028
1180,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.17,6.64,4.28,1.73,2.351,5.647,2.824
1181,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.1,5.29,6.04,1.88,2.776,11.496,5.748
1182,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.92,5.13,8.04,1.88,2.776,20.742,10.371
1183,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.15,11.91,7.4,1.88,2.776,17.479,8.74
1184,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.21,7.99,6.25,2.04,3.269,12.336,6.168
1185,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.54,7.69,6.54,2.02,3.205,13.546,6.773
1186,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.95,9.76,6.05,1.93,2.926,11.535,5.767
1187,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.35,6.53,4.79,1.86,2.717,7.124,3.562
1188,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.21,11.65,6.39,2.02,3.205,12.913,6.456
1189,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.02,10.5,7.13,2.03,3.237,16.189,8.094
1190,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.08,5.63,8.24,1.92,2.895,21.821,10.911
1191,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.36,7.92,6.82,1.78,2.488,14.77,7.385
1192,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.73,11.15,7.57,1.96,3.017,18.318,9.159
1193,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.72,11.61,3.96,1.86,2.717,4.811,2.405
1194,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.25,8.27,5.77,1.82,2.602,10.46,5.23
1195,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.32,9.29,3.06,1.8,2.545,2.826,1.413
1196,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.12,6.17,4.48,1.84,2.659,6.205,3.103
1197,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.27,11.94,7.36,2,3.142,17.285,8.642
1198,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.32,6.62,8.95,1.8,2.545,25.879,12.94
1199,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.52,11.6,3.6,2.04,3.269,3.952,1.976
1200,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.54,9.55,5.41,1.8,2.545,9.158,4.579
1201,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.96,9.25,7.8,2.04,3.269,19.485,9.742
1202,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.57,8.59,4.22,1.96,3.017,5.485,2.743
1203,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.42,6.61,6.33,1.89,2.806,12.664,6.332
1204,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.33,6.24,7.4,1.72,2.324,17.479,8.74
1205,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.68,6.54,6.7,1.9,2.835,14.239,7.119
1206,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.84,6.31,4.13,2.02,3.205,5.247,2.623
1207,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.17,10.46,5.13,1.86,2.717,8.207,4.104
1208,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.05,7.45,7.7,1.75,2.405,18.973,9.486
1209,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.62,5.4,6.33,2.06,3.333,12.664,6.332
1210,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.16,11.78,8,1.71,2.297,20.53,10.265
1211,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.53,11.19,7.57,1.83,2.63,18.318,9.159
1212,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.07,11.49,3.21,2.05,3.301,3.119,1.56
1213,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.67,11.96,7.47,1.99,3.11,17.822,8.911
1214,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.18,6.22,4.21,1.75,2.405,5.458,2.729
1215,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.08,7.77,8.75,1.7,2.27,24.7,12.35
1216,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.43,10.31,5.21,1.94,2.956,8.473,4.237
1217,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.19,9.87,4.96,1.85,2.688,7.656,3.828
1218,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.26,6.08,3.89,1.99,3.11,4.637,2.318
1219,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.18,10.71,4.83,2.04,3.269,7.247,3.624
1220,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.14,6.57,8.26,1.87,2.746,21.931,10.965
1221,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.75,6.57,8.98,1.93,2.926,26.058,13.029
1222,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.27,8.76,5.21,2.06,3.333,8.473,4.237
1223,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.3,9.15,5.69,2.01,3.173,10.163,5.082
1224,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.94,9.06,7.33,1.68,2.217,17.14,8.57
1225,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.53,5.64,8.32,1.87,2.746,22.261,11.13
1226,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.65,11.14,6.56,1.74,2.378,13.631,6.816
1227,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.12,6.86,5.35,2.05,3.301,8.95,4.475
1228,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.64,5.91,5.48,2.07,3.365,9.404,4.702
1229,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.35,11.22,7.17,1.9,2.835,16.377,8.188
1230,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.96,11.69,3.02,1.78,2.488,2.75,1.375
1231,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.44,11.03,6.72,1.71,2.297,14.326,7.163
1232,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.87,10.67,5.13,2.02,3.205,8.207,4.104
1233,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.22,9.59,7.77,2.06,3.333,19.331,9.665
1234,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.94,8.86,3.56,1.94,2.956,3.862,1.931
1235,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.93,5.61,6.53,1.69,2.243,13.503,6.752
1236,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.44,7.86,5.89,2.04,3.269,10.914,5.457
1237,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.55,7.61,6.85,1.91,2.865,14.904,7.452
1238,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.24,6.82,3.39,1.8,2.545,3.491,1.745
1239,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.28,10.06,6.48,1.89,2.806,13.291,6.645
1240,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.8,8.47,6.37,1.8,2.545,12.829,6.415
1241,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.96,5.57,6.36,1.69,2.243,12.788,6.394
1242,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.16,6.54,6.62,1.84,2.659,13.89,6.945
1243,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.76,9.78,7.06,1.75,2.405,15.862,7.931
1244,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.34,5.53,7.83,1.77,2.461,19.64,9.82
1245,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.67,10.96,4.62,2.08,3.398,6.612,3.306
1246,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.23,8.47,7.95,1.9,2.835,20.266,10.133
1247,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.73,8.36,5.99,1.75,2.405,11.3,5.65
1248,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.99,9.15,3.46,1.81,2.573,3.641,1.821
1249,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.21,10.77,3.35,1.68,2.217,3.406,1.703
1250,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.03,7.43,5.01,1.88,2.776,7.816,3.908
1251,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.41,9.75,7.71,1.84,2.659,19.024,9.512
1252,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.35,8.96,7.25,2.01,3.173,16.756,8.378
1253,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.36,6.87,7.73,1.86,2.717,19.126,9.563
1254,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.66,11.15,6.1,1.75,2.405,11.732,5.866
1255,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.71,10.58,5.64,1.75,2.405,9.98,4.99
1256,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.84,9.61,3.88,1.73,2.351,4.612,2.306
1257,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.23,10.95,4.97,1.74,2.378,7.688,3.844
1258,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.24,11.07,5.6,1.69,2.243,9.834,4.917
1259,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.69,9.96,3.53,2.09,3.431,3.795,1.897
1260,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.41,10.86,4.32,1.81,2.573,5.757,2.878
1261,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.17,9.88,6.59,1.87,2.746,13.76,6.88
1262,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.03,9.76,7.41,1.74,2.378,17.528,8.764
1263,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.32,9.33,8.99,2.09,3.431,26.118,13.059
1264,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.29,10.27,8.6,1.93,2.926,23.834,11.917
1265,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.5,6.11,6.86,1.95,2.986,14.949,7.475
1266,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.63,11.17,5.53,2.05,3.301,9.582,4.791
1267,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.57,11.1,6.82,1.67,2.19,14.77,7.385
1268,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.19,5.2,7.71,2.05,3.301,19.024,9.512
1269,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.4,10.78,3.71,2.06,3.333,4.205,2.102
1270,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.16,5.9,5.46,1.84,2.659,9.334,4.667
1271,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.4,7.35,8.04,1.92,2.895,20.742,10.371
1272,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.34,10.2,5.3,1.7,2.27,8.778,4.389
1273,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.59,6.13,6.43,1.73,2.351,13.08,6.54
1274,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.1,10.73,6.53,1.79,2.517,13.503,6.752
1275,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.93,10.82,4.11,1.96,3.017,5.194,2.597
1276,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.39,8.55,5.17,2,3.142,8.34,4.17
1277,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.15,5.04,5.01,1.88,2.776,7.816,3.908
1278,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.38,7.01,3.16,1.95,2.986,3.02,1.51
1279,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.43,9.32,3.15,2.07,3.365,3,1.5
1280,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,2.29,11.87,7.99,2.03,3.237,20.477,10.238
1281,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.86,9.42,4.64,1.74,2.378,6.671,3.336
1282,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.89,6.82,6.11,1.85,2.688,11.772,5.886
1283,1,Café mundo novo ,Coffea arabica L. cv. Mundo Novo,1.93,9.44,4.79,1.76,2.433,7.124,3.562
